building_id,building_name,latitude,longitude,gross_area_sqft,utility,reading_time,reading_value
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T00:00:00,1.996
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T00:15:00,1.99
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T00:30:00,2.002
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T00:45:00,2.167
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T01:00:00,1.999
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T01:15:00,1.722
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T01:30:00,2.092
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T01:45:00,1.971
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T02:00:00,1.981
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T02:15:00,2.048
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T02:30:00,2.072
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T02:45:00,2.261
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T03:00:00,2.158
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T03:15:00,2.047
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T03:30:00,1.875
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T03:45:00,1.82
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T04:00:00,2.075
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T04:15:00,2.29
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T04:30:00,2.033
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T04:45:00,2.003
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T05:00:00,2.133
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T05:15:00,1.731
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T05:30:00,1.962
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T05:45:00,2.124
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T06:00:00,2.202
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T06:15:00,1.976
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T06:30:00,2.101
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T06:45:00,2.075
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T07:00:00,2.911
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T07:15:00,2.399
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T07:30:00,2.853
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T07:45:00,2.291
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T08:00:00,2.766
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T08:15:00,3.521
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T08:30:00,3.405
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T08:45:00,4.077
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T09:00:00,5.039
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T09:15:00,4.149
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T09:30:00,5.125
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T09:45:00,4.251
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T10:00:00,5.516
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T10:15:00,5.4
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T10:30:00,5.627
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T10:45:00,6.019
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T11:00:00,6.604
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T11:15:00,6.425
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T11:30:00,6.611
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T11:45:00,6.504
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T12:00:00,6.197
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T12:15:00,6.138
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T12:30:00,6.301
PU001,Frist Campus Center,40.3492,-74.6543,45000,electricity,2025-09-01T12:45:00,6.942
